OrganismRowID,OrganismCode,Active,CommonName,Native,Phylum,Class,Order,Family,Genus,Species,NormalizedCode,Comments,s_ColLineage,s_Generation,s_Lineage
{90FE9FBC-E1FB-11D2-9F94-006008038FD8},GF,TRUE,Goldfish,I,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Carassius,auratus,142,,,1277,
{6204CA64-80D1-11D3-AFD7-00C04FF7F6A0},GOB,FALSE,Goby Unknown,,Chordata,Osteichthyes,Perciformes,Gobiidae,NA,NA,200,,,1,
{90FE9FBD-E1FB-11D2-9F94-006008038FD8},GSF,TRUE,Green Sunfish,I,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,cyanellus,143,,,1277,
{6204CA8A-80D1-11D3-AFD7-00C04FF7F6A0},GSM,FALSE,Grey Smoothhound,,Chordata,Elasmobranchiomorphi,Lamniformes,Carcharhinidae,Mustelus,californica,242,,,1,
{90FE9FBE-E1FB-11D2-9F94-006008038FD8},GSN,TRUE,Golden Shiner,I,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notemigonus,crysoleucas,141,,,1277,
{90FE9FBF-E1FB-11D2-9F94-006008038FD8},GST,TRUE,Green Sturgeon,N,Chordata,Osteichthyes,Acipenseriformes,Acipenseridae,Acipenser,medirostris,144,,,1277,
{90FE9FC0-E1FB-11D2-9F94-006008038FD8},HCH,TRUE,Hitch,N,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Lavinia,exilicauda,145,,,1277,
{6204CA99-80D1-11D3-AFD7-00C04FF7F6A0},HER,FALSE,Herring Unknown,,Chordata,Osteichthyes,Clupeiformes,Clupeidae,NA,NA,259,,,1,
{90FE9FC1-E1FB-11D2-9F94-006008038FD8},HH,TRUE,Hardhead,I,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Mylopharodon,conocephalus,186,,,1277,
{90FE9FC2-E1FB-11D2-9F94-006008038FD8},JSM,FALSE,Jacksmelt,,Chordata,Osteichthyes,Atheriniformes,Atherinidae,Atherinopsis,californiensis,201,,,1,
{401EE10E-C3CE-11D3-B02C-00C04FF7F6A0},KBL,FALSE,Kern Brook Lamprey,,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,hubbsi,,,,1,
{6204CA98-80D1-11D3-AFD7-00C04FF7F6A0},KOS,FALSE,Kokanee Salmon,,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Oncorhynchus,nerka,258,,,1,
{90FE9FC3-E1FB-11D2-9F94-006008038FD8},LAM,TRUE,Lamprey Unknown,,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,NA,202,,,1,
{90FE9FC4-E1FB-11D2-9F94-006008038FD8},LFS,TRUE,Longfin Smelt,N,Chordata,Osteichthyes,Salmoniformes,Osmeridae,Spirinchus,thaleichthys,149,,,1277,
{6204CA90-80D1-11D3-AFD7-00C04FF7F6A0},LIC,FALSE,Lingcod,,Chordata,Osteichthyes,Scorpaeniformes,Hexagrammidae,Ophiodon,elongatus,248,,,1,
{90FE9FC5-E1FB-11D2-9F94-006008038FD8},LMB,TRUE,Largemouth Bass,I,Chordata,Osteichthyes,Perciformes,Centrarchidae,Micropterus,salmoides,148,,,1277,
{6204CA54-80D1-11D3-AFD7-00C04FF7F6A0},LMS,FALSE,Longjaw Mudsucker,,Chordata,Osteichthyes,Percifomes,Gobiidae,Gillichthys,mirabilis,150,,,1,
{90FE9FC7-E1FB-11D2-9F94-006008038FD8},LP,TRUE,Bigscale Logperch,I,Chordata,Osteichthyes,Perciformes,Percidae,Percina,macrolepida,128,,,1277,
{6204CA7B-80D1-11D3-AFD7-00C04FF7F6A0},LSH,FALSE,Leopard Shark,,Chordata,Elasmobranchiomorphi,Lamniformes,Carcharhinidae,Triakis,semifasciata,226,,,1,
{6204CA66-80D1-11D3-AFD7-00C04FF7F6A0},MIN,TRUE,Minnow Unknown,,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,NA,NA,203,,,1,
{90FE9FC9-E1FB-11D2-9F94-006008038FD8},MQF,TRUE,Western Mosquitofish,I,Chordata,Osteichthyes,Cyprinodontiformes,Poeciliidae,Gambusia,affinis,153,,,1277,
{90FE9FCA-E1FB-11D2-9F94-006008038FD8},MSS,TRUE,Inland Silverside,I,Chordata,Osteichthyes,Atheriniformes,Atherinidae,Menidia,beryllina,146,,,1277,
{90FE9FCB-E1FB-11D2-9F94-006008038FD8},NAN,FALSE,Northern Anchovy,,Chordata,Osteichthyes,Clupeiformes,Engraulidae,Engraulis,mordax,155,,,1,
{6204CA75-80D1-11D3-AFD7-00C04FF7F6A0},NONE,TRUE,NoCatch,,NA,NA,NA,NA,NA,nocatch,220,,,1,
{13157E78-8C9C-11D3-AFE6-00C04FF7F6A0},NPK,FALSE,Northern Pike,,Chordata,Osteichthyes,Esociformes,Esocidae,Esox,lucius,,,,1,
{6204CA84-80D1-11D3-AFD7-00C04FF7F6A0},NSM,FALSE,Night Smelt,,Chordata,Osteichthyes,Salmoniformes,Osmeridae,Spirinchus,starski,235,,,1,
{6204CA56-80D1-11D3-AFD7-00C04FF7F6A0},OSH,FALSE,Opossum Shrimp,,Arthropoda,Crustacea,Malacostraca,Mysidae,neomysis,NA,154,,,1,
{90FE9FCC-E1FB-11D2-9F94-006008038FD8},PAH,FALSE,Pacific Herring,,Chordata,Osteichthyes,Clupeiformes,Clupeidae,Clupea,pallasi,157,,,1,
{6204CA81-80D1-11D3-AFD7-00C04FF7F6A0},PBU,FALSE,Pacific Butterfish,,Chordata,Osteichthyes,Perciformes,Stromateidae,Peprilus,simillimus,232,,,1,
{6204CAAF-80D1-11D3-AFD7-00C04FF7F6A0},PELR,FALSE,Pacific Electric Ray,,Chordata,Elasmobranchiomorphi,Rajiformes,Torpedinidae,Torpedo,californica,252,,,1,
{6204CA67-80D1-11D3-AFD7-00C04FF7F6A0},PER,FALSE,Perch Unknown,,Chordata,Osteichthyes,Perciformes,Percidae,NA,NA,204,,,1,
{6204CA8C-80D1-11D3-AFD7-00C04FF7F6A0},PHA,FALSE,Pacific Halibut,,Chordata,Osteichthyes,Pleuronectiformes,Pleuronectidae,Hippoglossus,stenolepis,244,,,1,
{EA705994-3EE8-4FA0-B84F-92BAC426D238},PKN,TRUE,Pumpkinseed Sunfish,N,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,gibbosus,,,,1278,
{13157E75-8C9C-11D3-AFE6-00C04FF7F6A0},PKS,FALSE,Pink Salmon,,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Oncorhynchus,gorbuscha,,,,1,
{13157E77-8C9C-11D3-AFE6-00C04FF7F6A0},PL,TRUE,Pacific  Lamprey,N,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,tridentata,,,,1,
{90FE9FCF-E1FB-11D2-9F94-006008038FD8},PMP,FALSE,Plainfin Midshipman,,Chordata,Osteichthyes,Batrachoidiformes,Batrachoididae,Porichthys,notatus,152,,,1,
{6204CA86-80D1-11D3-AFD7-00C04FF7F6A0},PPE,FALSE,Pile Perch,,Chordata,Osteichthyes,Percifomes,Embiotocidae,Rhacochilus,vacca,237,,,1,
{90FE9FD0-E1FB-11D2-9F94-006008038FD8},PRS,TRUE,Prickly Sculpin,N,Chordata,Osteichthyes,Scorpaeniformes,Cottidae,Cottus,asper,159,,,1278,
