SmeltGenRowID,FishTagID,Active,SPECIES (Assay ID),# Chroms,V-shape,COMMENTS,q (DS),q (LF),q (WK),Genotype Run
77,2012-028S,TRUE,DSM,,,,0.993,0.003,0.004,160826_Smelt_192.24_A
76,2012-027S,TRUE,DSM,,,,0.9871,0.004,0.0089,160826_Smelt_192.24_A
75,2012-026S,TRUE,DSM,,,,0.988,0.004,0.008,160826_Smelt_192.24_A
74,2012-025S,TRUE,DSM,,,,0.986,0.005,0.009,160826_Smelt_192.24_A
73,2012-024S,TRUE,DSM,,,,0.993,0.003,0.004,160826_Smelt_192.24_A
72,2012-023S,TRUE,DSM,,,,0.9819,0.005,0.0131,160826_Smelt_192.24_A
71,2012-022S,TRUE,DSM,,,,0.99,0.004,0.006,160826_Smelt_192.24_A
70,2012-021S,TRUE,DSM,,,,0.9894,0.0036,0.007,160826_Smelt_192.24_A
69,2012-020S,TRUE,DSM,,,,0.9946,0.0024,0.003,160826_Smelt_192.24_A
68,2012-019S,TRUE,DSM,,,,0.992,0.003,0.005,160826_Smelt_192.24_A
67,2012-018S,TRUE,DSM,,,,0.9907,0.003,0.0063,160826_Smelt_192.24_A
66,2012-017S,TRUE,DSM,,,,0.9899,0.004,0.0061,160826_Smelt_192.24_A
65,2012-016S,TRUE,DSM,,,,0.9774,0.0056,0.017,160826_Smelt_192.24_A
64,2012-015S,TRUE,DSM,,,,0.994,0.003,0.003,160826_Smelt_192.24_A
63,2012-014S,TRUE,DSM,,,,0.9898,0.0032,0.007,160826_Smelt_192.24_A
62,2012-013S,TRUE,DSM,,,,0.992,0.003,0.005,160826_Smelt_192.24_A
61,2012-012S,TRUE,DSM,,,,0.9815,0.005,0.0135,160826_Smelt_192.24_A
60,2012-011S,TRUE,DSM,,,,0.9868,0.004,0.0092,160826_Smelt_192.24_A
59,2012-010S,TRUE,DSM,,,,0.992,0.003,0.005,160826_Smelt_192.24_A
58,2012-009S,TRUE,DSM,,,,0.991,0.003,0.006,160826_Smelt_192.24_A
57,2012-008S,TRUE,DSM,,,,0.992,0.003,0.005,160826_Smelt_192.24_A
55,2012-007S,TRUE,DSM,,,,0.9752,0.007,0.0178,160826_Smelt_192.24_A
54,2012-006S,TRUE,DSM,,,,0.987,0.004,0.009,160826_Smelt_192.24_A
53,2012-005S,TRUE,DSM,,,,0.9892,0.0038,0.007,160826_Smelt_192.24_A
52,2012-004S,TRUE,DSM,,,,0.9891,0.004,0.0069,160826_Smelt_192.24_A
51,2012-003S,TRUE,DSM,,,,0.9811,0.005,0.0139,160826_Smelt_192.24_A
96,2012-003L,TRUE,LFS,,,,0.003,0.994,0.003,160830_Smelt_192.24_B
5,2012-002W,TRUE,WAG,,,,0.0041,0.003,0.9929,160830_Smelt_192.24_B
50,2012-002S,TRUE,DSM,,,,0.9844,0.0046,0.011,160826_Smelt_192.24_A
91,2012-002L,TRUE,LFS,,,,0.0222,0.9486,0.0292,160830_Smelt_192.24_B
56,2012-001W,TRUE,WAG,,,,0.005,0.003,0.992,160830_Smelt_192.24_B
49,2012-001S,TRUE,DSM,,,,0.9913,0.004,0.0047,160826_Smelt_192.24_A
89,2012-001L,TRUE,LFS,,,,0.005,0.9891,0.0059,160830_Smelt_192.24_B
23,2011-014S,TRUE,DSM,,,,0.989,0.004,0.007,160826_Smelt_192.24_A
21,2011-013S,TRUE,WAG,,,,0.0055,0.003,0.9915,160826_Smelt_192.24_A
7,2011-012S,TRUE,WAG,,,,0.0152,0.0063,0.9785,160826_Smelt_192.24_A
12,2011-011S,TRUE,WAG,,,,0.0147,0.006,0.9793,160826_Smelt_192.24_A
47,2011-010S,TRUE,WAG,,,,0.0078,0.004,0.9882,160826_Smelt_192.24_A
46,2011-009S,TRUE,WAG,,,,0.0108,0.005,0.9842,160826_Smelt_192.24_A
45,2011-008S,TRUE,hybrid (DSM/WAG),,,,0.1475,0.0178,0.8347,160826_Smelt_192.24_A
20,2011-007S,TRUE,WAG,,,,0.0079,0.004,0.9881,160826_Smelt_192.24_A
19,2011-006S,TRUE,WAG,,,,0.0283,0.008,0.9637,160826_Smelt_192.24_A
18,2011-005S,TRUE,WAG,,,,0.0039,0.0029,0.9932,160826_Smelt_192.24_A
44,2011-004S,TRUE,WAG,,,,0.007,0.004,0.989,160826_Smelt_192.24_A
22,2011-003W,TRUE,WAG,,,,0.0078,0.004,0.9882,160830_Smelt_192.24_B
43,2011-003S,TRUE,DSM,,,,0.989,0.004,0.007,160826_Smelt_192.24_A
48,2011-002W,TRUE,WAG,,,,0.0131,0.0079,0.979,160830_Smelt_192.24_B
42,2011-002S,TRUE,DSM,,,,0.9892,0.004,0.0068,160826_Smelt_192.24_A
31,2011-001W,TRUE,WAG,,,,0.0094,0.0043,0.9863,160830_Smelt_192.24_B
41,2011-001S,TRUE,DSM,,,,0.989,0.004,0.007,160826_Smelt_192.24_A
40,2010-008S,TRUE,DSM,,,,0.9813,0.0053,0.0134,160826_Smelt_192.24_A
39,2010-007S,TRUE,hybrid (DSM/WAG),,,,0.4428,0.004,0.5532,160826_Smelt_192.24_A
38,2010-006S,TRUE,DSM,,,,0.9874,0.0046,0.008,160826_Smelt_192.24_A
37,2010-005S,TRUE,WAG,,,,0.0059,0.0033,0.9908,160826_Smelt_192.24_A
36,2010-004S,TRUE,DSM,,,,0.9118,0.009,0.0792,160826_Smelt_192.24_A
35,2010-003S,TRUE,DSM,,,,0.9916,0.0034,0.005,160826_Smelt_192.24_A
34,2010-002S,TRUE,DSM,,,,0.9895,0.0035,0.007,160826_Smelt_192.24_A
33,2010-001S,TRUE,DSM,,,,0.9902,0.0038,0.006,160826_Smelt_192.24_A
