"OrganismCode","IEPFishCode","CommonName","Native","Phylum","Class","Order","Family","Genus","Species","Taxa"
"FHM","FATMIN","Fathead Minnow","I","Chordata","Osteichthyes","Cypriniformes","Cyprinidae","Pimephales","promelas","Pimephales promelas"
"GF","GOLDFI","Goldfish","I","Chordata","Osteichthyes","Cypriniformes","Cyprinidae","Carassius","auratus","Carassius auratus"
"GSF","GRESUN","Green Sunfish","I","Chordata","Osteichthyes","Perciformes","Centrarchidae","Lepomis","cyanellus","Lepomis cyanellus"
"GSN","GOLSHI","Golden Shiner","I","Chordata","Osteichthyes","Cypriniformes","Cyprinidae","Notemigonus","crysoleucas","Notemigonus crysoleucas"
"HCH","HITCH","Hitch","N","Chordata","Osteichthyes","Cypriniformes","Cyprinidae","Lavinia","exilicauda","Lavinia exilicauda"
"HH","HARDHE","Hardhead","I","Chordata","Osteichthyes","Cypriniformes","Cyprinidae","Mylopharodon","conocephalus","Mylopharodon conocephalus"
"KLF","UNIKIL","Killifish","I","Chordata","Osteichthyes","Cyprinodontiformes","Cyprinodontidae",NA,"spp.","Cyprinodontidae spp."
"LAM","UNILAM","Lamprey Unknown",NA,"Chordata","Cephalaspidomorphi","Petromyzontiformes","Petromyzontidae","Lampetra","spp.","Lampetra spp."
"LFS","LONSME","Longfin Smelt","N","Chordata","Osteichthyes","Salmoniformes","Osmeridae","Spirinchus","thaleichthys","Spirinchus thaleichthys"
"LMB","LARBAS","Largemouth Bass","I","Chordata","Osteichthyes","Perciformes","Centrarchidae","Micropterus","salmoides","Micropterus salmoides"
"LP","BIGLOG","Bigscale Logperch","I","Chordata","Osteichthyes","Perciformes","Percidae","Percina","macrolepida","Percina macrolepida"
"MQF","WESMOS","Western Mosquitofish","I","Chordata","Osteichthyes","Cyprinodontiformes","Poeciliidae","Gambusia","affinis","Gambusia affinis"
"MSS","MISSIL","Inland Silverside","I","Chordata","Osteichthyes","Atheriniformes","Atherinidae","Menidia","beryllina","Menidia audens"
"NONE","NOCATC","NoCatch",NA,NA,NA,NA,NA,NA,"nocatch","NoCatch"
"PKN","PUMPKI","Pumpkinseed Sunfish","N","Chordata","Actinopterygii","Perciformes","Centrarchidae","Lepomis","gibbosus","Lepomis gibbosus"
"PL","PACLAM","Pacific  Lamprey","N","Chordata","Cephalaspidomorphi","Petromyzontiformes","Petromyzontidae","Lampetra","tridentata","Lampetra tridentata"
"PRS","PRISCU","Prickly Sculpin","N","Chordata","Osteichthyes","Scorpaeniformes","Cottidae","Cottus","asper","Cottus asper"
"PSS","PACSSC","Pacific Staghorn Sculpin","N","Chordata","Osteichthyes","Scorpaeniformes","Cottidae","Leptocottus","armatus","Leptocottus armatus"
"RBT","RAITRO","Rainbow / Steelhead Trout","N","Chordata","Osteichthyes","Salmoniformes","Salmonidae","Oncorhynchus","mykiss","Oncorhynchus mykiss"
"RES","REDSUN","Redear Sunfish","I","Chordata","Osteichthyes","Perciformes","Centrarchidae","Lepomis","microlophus","Lepomis microlophus"
"RFK","RAIKIL","Rainwater Killifish","I","Chordata","Osteichthyes","Cyprinodontiformes","Cyprinodontidae","Lucania","parva","Lucania parva"
"RL","RIVLAM","River Lamprey","N","Chordata","Cephalaspidomorphi","Petromyzontiformes","Petromyzontidae","Lampetra","ayresi","Lampetra ayresi"
"RSN","REDSHI","Red Shiner","I","Chordata","Osteichthyes","Cypriniformes","Cyprinidae","Cyprinella","lutrensis","Cyprinella lutrensis"
"SAPM","SACPIK","Sacramento Pikeminnow","N","Chordata","Osteichthyes","Cypriniformes","Cyprinidae","Ptychocheilus","grandis","Ptychocheilus grandis"
"SASU","SACSUC","Sacramento Sucker","N","Chordata","Osteichthyes","Cypriniformes","Catostomidae","Catostomus","occidentalis","Catostomus occidentalis"
"SCB","SACBLA","Sacramento Blackfish","N","Chordata","Osteichthyes","Cypriniformes","Cyprinidae","Orthodon","microlepidotus","Orthodon microlepidotus"
"SCP","UNICOT","Sculpin Unknown","N","Chordata","Osteichthyes","Scorpaeniformes","Cottidae",NA,"spp.","Cottidae spp."
"SHM","SHIGOB","Shimofuri Goby","I","Chordata","Osteichthyes","Perciformes","Gobiidae","Tridentiger","bifasciatus","Tridentiger bifasciatus"
"SHR","SIBPRA","Siberian Prawn","I","Arthropoda","Crustacea","Caridae","Palaemonidae","Exopalaemon","modestus","Exopalaemon modestus"
"SHRK","MIGRSH","Mississippi Grass Shrimp","I","Arthropoda","Malacostraca","Decapoda","Palaemonidae","Palaemonetes","kadiakensis","Palaemonetes kadiakensis"
"SMB","SMABAS","Smallmouth Bass","I","Chordata","Osteichthyes","Perciformes","Centrarchidae","Micropterus","dolomieu","Micropterus dolomieu"
"SME","UNIOSM","Smelt Unknown",NA,"Chordata","Osteichthyes","Salmoniformes","Osmeridae",NA,"spp.","Osmeridae spp."
"SNF","UNICEN","Sunfish Unknown","I","Chordata","Osteichthyes","Perciformes","Centrarchidae",NA,"spp.","Centrarchidae spp."
"SPB","SPOBAS","Spotted Bass","I","Chordata","Osteichthyes","Perciformes","Centrarchidae","Micropterus","punctulatus","Micropterus punctulatus"
